experiment,step,loss,loss_ma25
GT LoRA,2720,0.01352500,0.02131596
GT LoRA,2730,0.00526000,0.01936900
GT LoRA,2740,0.00025600,0.01929740
GT LoRA,2750,0.02493700,0.02016328
GT LoRA,2760,0.00694600,0.01974832
GT LoRA,2770,0.00365800,0.01872344
GT LoRA,2780,0.00713600,0.01835468
GT LoRA,2790,0.04152400,0.01918080
GT LoRA,2800,0.01233300,0.01954712
GT LoRA,2810,0.00823000,0.01929480
GT LoRA,2820,0.01340100,0.01885888
GT LoRA,2830,0.00342400,0.01835952
GT LoRA,2840,0.01582300,0.01638524
GT LoRA,2850,0.01875600,0.01525532
GT LoRA,2860,0.00238800,0.01487816
GT LoRA,2870,0.07108500,0.01638536
GT LoRA,2880,0.00484200,0.01602080
GT LoRA,2890,0.01359900,0.01644260
GT LoRA,2900,0.07875600,0.01952732
GT LoRA,2910,0.01188600,0.01997716
GT LoRA,2920,0.04180300,0.01997452
GT LoRA,2930,0.00024200,0.01947324
GT LoRA,2940,0.00756300,0.01804936
GT LoRA,2950,0.00329100,0.01647136
GT LoRA,2960,0.00333100,0.01655980
GT LoRA,2970,0.06433900,0.01859236
GT LoRA,2980,0.02837300,0.01951688
GT LoRA,2990,0.02379600,0.02045848
GT LoRA,3000,0.01245100,0.01995904
GT LoRA,3010,0.00461100,0.01986564
GT LoRA,3020,0.00640500,0.01997552
GT LoRA,3030,0.01265800,0.02019640
GT LoRA,3040,0.02695400,0.01961360
GT LoRA,3050,0.06834400,0.02185404
GT LoRA,3060,0.04128200,0.02317612
GT LoRA,3070,0.00496800,0.02283880
GT LoRA,3080,0.01145600,0.02316008
GT LoRA,3090,0.00902700,0.02288824
GT LoRA,3100,0.03694400,0.02361576
GT LoRA,3110,0.00169900,0.02358820
GT LoRA,3120,0.11609900,0.02538876
GT LoRA,3130,0.00384300,0.02534880
GT LoRA,3140,0.00000000,0.02480484
GT LoRA,3150,0.01524300,0.02226432
GT LoRA,3160,0.01700500,0.02246908
GT LoRA,3170,0.05037900,0.02281212
GT LoRA,3180,0.01717900,0.02348960
GT LoRA,3190,0.00793900,0.02350464
GT LoRA,3200,0.00862900,0.02371816
GT LoRA,3210,0.08109400,0.02682868
GT LoRA,3220,0.03869200,0.02580280
GT LoRA,3230,0.01035200,0.02508196
GT LoRA,3240,0.00315200,0.02425620
GT LoRA,3250,0.00677400,0.02402912
GT LoRA,3260,0.00802400,0.02416564
GT LoRA,3270,0.02876800,0.02506016
GT LoRA,3280,0.00143900,0.02461140
GT LoRA,3290,0.00601100,0.02377368
GT LoRA,3300,0.03061900,0.02226468
GT LoRA,3310,0.01002200,0.02101428
GT LoRA,3320,0.03284500,0.02212936
GT LoRA,3330,0.03159400,0.02293488
GT LoRA,3340,0.01107300,0.02301672
GT LoRA,3350,0.00900000,0.02189896
GT LoRA,3360,0.03113400,0.02307636
GT LoRA,3370,0.00281900,0.01854516
GT LoRA,3380,0.00872500,0.01874044
GT LoRA,3390,0.01748600,0.01943988
GT LoRA,3400,0.01088200,0.01926544
GT LoRA,3410,0.02371500,0.01953384
GT LoRA,3420,0.04324500,0.01924848
GT LoRA,3430,0.01519200,0.01916900
GT LoRA,3440,0.10899200,0.02321112
GT LoRA,3450,0.02089300,0.02370168
GT LoRA,3460,0.03561400,0.02188248
GT LoRA,3470,0.00220500,0.02042300
GT LoRA,3480,0.03941200,0.02158540
GT LoRA,3490,0.00027700,0.02147040
GT LoRA,3500,0.03117500,0.02244644
GT LoRA,3510,0.02370400,0.02307364
GT LoRA,3520,0.01669100,0.02259056
GT LoRA,3530,0.00656900,0.02279576
GT LoRA,3540,0.00374000,0.02270492
GT LoRA,3550,0.06045000,0.02389816
GT LoRA,3560,0.03132300,0.02475020
GT LoRA,3570,0.02817000,0.02456320
GT LoRA,3580,0.03163100,0.02456468
GT LoRA,3590,0.02592400,0.02515872
GT LoRA,3600,0.00359200,0.02494240
GT LoRA,3610,0.10930100,0.02806908
GT LoRA,3620,0.00411200,0.02812080
GT LoRA,3630,0.05936300,0.03014632
GT LoRA,3640,0.02079400,0.03027864
